kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_52.ptx 119 : 1600 12544 0 0 0 0 0 0 0 
test.1.sm_52.ptx 118 : 1600 30496 0 0 0 200 50 0 0 
test.1.sm_52.ptx 117 : 1600 13184 0 0 0 0 0 0 0 
test.1.sm_52.ptx 116 : 1600 17696 0 0 0 0 0 0 0 
test.1.sm_52.ptx 54 : 1600 18752 0 0 0 0 0 0 0 
test.1.sm_52.ptx 113 : 1600 13216 0 0 0 0 0 0 0 
test.1.sm_52.ptx 53 : 1600 18912 0 0 0 0 0 0 0 
test.1.sm_52.ptx 52 : 1600 19488 0 0 0 0 0 0 0 
test.1.sm_52.ptx 51 : 1600 18880 0 0 0 0 0 0 0 
test.1.sm_52.ptx 50 : 1600 19424 0 0 0 0 0 0 0 
test.1.sm_52.ptx 49 : 1600 18976 0 0 0 0 0 0 0 
test.1.sm_52.ptx 48 : 1600 18848 0 0 0 0 0 0 0 
test.1.sm_52.ptx 46 : 1600 0 0 0 0 0 0 0 0 
test.1.sm_52.ptx 45 : 1600 14112 0 0 0 0 0 0 0 
test.1.sm_52.ptx 44 : 1600 15360 0 0 0 0 0 0 0 
test.1.sm_52.ptx 43 : 1600 15296 0 0 0 0 0 0 0 
test.1.sm_52.ptx 42 : 1600 14912 0 0 0 0 0 0 0 
test.1.sm_52.ptx 57 : 16000 1875072 0 0 0 800 500 0 0 
test.1.sm_52.ptx 28 : 1600 22912 0 0 0 0 0 0 0 
test.1.sm_52.ptx 41 : 1600 18816 0 0 0 0 0 0 0 
test.1.sm_52.ptx 58 : 16000 158528 0 0 0 0 0 0 0 
test.1.sm_52.ptx 29 : 1600 23776 0 0 0 0 0 0 0 
test.1.sm_52.ptx 88 : 1600 13376 0 0 0 0 0 0 0 
test.1.sm_52.ptx 59 : 16000 2900032 0 0 0 2000 500 0 0 
test.1.sm_52.ptx 30 : 1600 25472 0 0 0 0 0 0 0 
test.1.sm_52.ptx 89 : 1600 13376 0 0 0 0 0 0 0 
test.1.sm_52.ptx 60 : 16000 125824 0 0 0 0 0 0 0 
test.1.sm_52.ptx 31 : 1600 25376 0 0 0 0 0 0 0 
test.1.sm_52.ptx 32 : 1600 33568 0 0 0 0 0 0 0 
test.1.sm_52.ptx 33 : 1600 13696 0 0 0 0 0 0 0 
test.1.sm_52.ptx 34 : 1600 13824 0 0 0 0 0 0 0 
test.1.sm_52.ptx 35 : 1600 13696 0 0 0 0 0 0 0 
test.1.sm_52.ptx 36 : 1600 18816 0 0 0 0 0 0 0 
test.1.sm_52.ptx 37 : 1600 14432 0 0 0 0 0 0 0 
test.1.sm_52.ptx 38 : 1600 14720 0 0 0 0 0 0 0 
test.1.sm_52.ptx 39 : 1600 0 0 0 0 0 0 0 0 
test.1.sm_52.ptx 61 : 16000 159456 0 0 0 0 0 0 0 
test.1.sm_52.ptx 62 : 16000 703200 0 0 0 800 500 0 0 
test.1.sm_52.ptx 63 : 16000 150272 0 0 0 0 0 0 0 
test.1.sm_52.ptx 64 : 16000 184736 0 0 0 0 0 0 0 
test.1.sm_52.ptx 65 : 16000 2196000 0 0 0 2000 500 0 0 
test.1.sm_52.ptx 66 : 16000 142528 0 0 0 0 0 0 0 
test.1.sm_52.ptx 67 : 16000 180800 0 0 0 0 0 0 0 
test.1.sm_52.ptx 68 : 16000 785824 0 0 0 800 500 0 0 
test.1.sm_52.ptx 69 : 16000 146464 0 0 0 0 0 0 0 
test.1.sm_52.ptx 70 : 16000 182752 0 0 0 0 0 0 0 
test.1.sm_52.ptx 71 : 16000 2840608 0 0 0 2000 500 0 0 
test.1.sm_52.ptx 72 : 16000 112160 0 0 0 0 0 0 0 
test.1.sm_52.ptx 73 : 16000 135648 0 0 0 0 0 0 0 
test.1.sm_52.ptx 74 : 16000 721440 0 0 0 800 500 0 0 
test.1.sm_52.ptx 75 : 16000 123936 0 0 0 0 0 0 0 
test.1.sm_52.ptx 76 : 16000 169056 0 0 0 0 0 0 0 
test.1.sm_52.ptx 77 : 16000 211584 0 0 0 0 0 0 0 
test.1.sm_52.ptx 78 : 16000 2744576 0 0 0 2000 500 0 0 
test.1.sm_52.ptx 79 : 16000 119712 0 0 0 0 0 0 0 
test.1.sm_52.ptx 80 : 16000 120768 0 0 0 0 0 0 0 
test.1.sm_52.ptx 81 : 16000 169376 0 0 0 0 0 0 0 
test.1.sm_52.ptx 82 : 16000 168512 0 0 0 0 0 0 0 
test.1.sm_52.ptx 83 : 16000 169408 0 0 0 0 0 0 0 
test.1.sm_52.ptx 84 : 16000 125824 0 0 0 0 0 0 0 
test.1.sm_52.ptx 85 : 16000 107296 0 0 0 0 0 0 0 
test.1.sm_52.ptx 114 : 1600 17984 0 0 0 0 0 0 0 
test.1.sm_52.ptx 115 : 1600 18368 0 0 0 0 0 0 0 
